Sentiment,News Headline
positive,the company s net profit rise 114   on the year to 822 million euro in 2005 on sale of 6865 million euro   138   up on the year   the company say early
positive,the lithuanian beer market make up 1441 million liter in january   a rise of 08 percent from the yearearli figure   the lithuanian brewer   association report cite the result from its member
positive,vike line s cargo revenue increase by 54   to eur 2146 mn   and cargo volume increase by 24   to 70116 cargo unit
positive,the fair value of the property portfolio double as a result of the kapiteeli acquisition and total eur 26862 12597 million
positive,10 february 2011   finnish medium company sanoma oyj hel   saa1v say yesterday its 2010 net profit almost triple to eur297 3 m from eur107 1 m for 2009 and announce a proposal for a raise payout
positive,a helsinki   eliiv today report eps of eur1 13 for 2009   an increase over eps of eur1 12 in 2008
positive,aspo plc stock exchange release february 11   2011 at8 45 be esl shipping ltd   part of aspo group   have sign a new   longterm contract with rautaruukki corporation for the marine transport of raw material on the baltic sea
positive,commission income increase by 22   to eur 44 mn   and lending volume rise by 135  
positive,in january   traffic   measure in revenue passenger kilometre rpk   go up by 32   and capacity   measure in available seat kilometre ask   rise by 122  
positive,in januaryseptember 2010   fiskar   net profit go up by 14   yearonyear to eur 654 million and net sale to eur 5253 million from eur 4877 million
positive,net income from life insurance rise to eur 165 mn from eur 140 mn   and net income from nonlife insurance to eur 226 mn from eur 152 mn in 2009
positive,nyrstar have also agree to supply to talvivaara up to 150000 tonne of sulphuric acid per annum for use in talvivaara s leach process during the period of supply of the zinc in concentrate
positive,sale for both the department store division and hobby hall increase by 7    while sale for the clothing store subsidiary seppala decrease by 4  
positive,sale have rise in other export market
positive,sale increase due to grow market rate and increase operation
positive,the agreement strengthen our longterm partnership with nokia siemens network
positive,the agreement be sign with biohit healthcare ltd   the ukbased subsidiary of biohit oyj   a finnish public company which develop   manufacture and market liquid handling product and diagnostic test system
positive,the company also estimate the already carry out investment to lead to an increase in its net sale for 2010 from 2009 when they reach eur 1417 million
positive,the company s order book stand at 15 bln euro   22 bln on september 30   2007   up by 242 pct on the year   with international order amount to 365 mln euro   5343 mln
positive,the company say that paper demand increase in all of its main market   include of publication paper   and that it increase average paper price by 4 percent compare with last year
positive,the world s second large stainless steel maker say net profit in the threemonth period until dec 31 surge to euro603 million us 781 million   or euro3 33 us 431 per share   from euro172 million   or euro0 94 per share   the previous year
positive,within the framework of the partnership   nokia siemen network have sign an initial framework purchase agreement with sitronic subsidiary   jsc mikron   which be the large manufacturer and exporter of microelectronic component in russia
positive,seppala s revenue increase by 02   to eur10 1 m in finland   revenue go down by 24   to eur6 8 m   while sale abroad rise by 62   to eur3 3 m sale increase in all the baltic country as well as in russia and ukraine
positive,share of standard charter   stan   rise 12   in the ftse 100   while royal bank of scotland   rbs   share rise 2   and barclays share   barc    bcs   be up 17  
positive,share of nokia corp rise thursday after the cell phone maker say its thirdquarter earning almost double and its share of the global handset market increase
positive,in its financial report   publish on friday   seb say its net profit soar to sek6 745 bn in 2010 from a yearearli sek1 114 bn and propose a 50   dividend increase to sek1 50 per share
positive,sale for the department store division increase by 15   and sale for the clothing store subsidiary seppala increase by 8   meanwhile sale for hobby hall decrease by 12  
neutral,at the request of finnish medium company alma medium s newspaper   research manager jari kaivooja at the finland futures research centre at the turku school of economic have draw up a future scenario for finland s national economy by use a model develop by the university of denver
neutral,in sweden   gallerix accumulate sek denominate sale be down 1   and eur denominate sale be up 11  
neutral,the company support its global customer in develop new technology and offer a fast route from product development to application and volume production
neutral,when this investment be in place   atria plan to expand into the moscow market
neutral,  the new agreement be a continuation to theagreement sign early this year with the lemminkainen group   whereby cramo acquire the entire construction machine fleet oflemminkainen talo oy ita   ja pohjois suomo   and sign asimilar agreement    say tatu hauhio   manage director ofcramo finland
positive,at first the contract envisage the construction of three ferryboat with an option for two more unit   far confirm at a total value of 500 mln euro    6458 mln  
neutral,in june it sell a 30 percent stake to nordstjernan   and the investment group have now take up the option to acquire eqt s remain share
positive,kesko corporation stock exchange release 28022008 at 0930 1   1   kesko corporation and aspo plc today sign an agreement by which aspo acquire the share capital of kaukotelko ltd   a subsidiary wholly own by kesko
positive,sponda plc stock exchange release 5 december 2006 at 1545 eur 15 billion syndicate credit facility for sponda sponda have sign an agreement for a oneyear syndicate credit facility for a total of eur 15 billion
neutral,stock exchange announcement 20 july 2006 1   1   basware share subscription with warrant and increase in share capital a total of 119 850 share have be subscribe with basware warrant program
positive,the contract cover hdo platform   ac800 and cxe880 optical fttb node design to increase the forward and return path capacity of the transmission network
neutral,the new plant be plan to have an electricity generation capacity of up to 350 megawatt   mw   and the same heat generation capacity
positive,the omx helsinki 25 index be up 092 pct at 251867 and the helsinki cap portfolio index be 091 pct high at 471119
neutral,  so   the sale growth of car considerably influence on the tire market  
neutral,a maximum of 666104 new share can far be subscribe for by exercise b option under the 2004 stock option plan
neutral,as a result of the share issue   the number of the company s share increase by 391630 share and the share capital by a total of eur 1566520
neutral,finnish real estate investor sponda plc say on wednesday 12 march that it have sign agreement with danske bank as   helsinki branch for a 7year eur150 m credit facility and with ilmarinen mutual pension insurance company for a 7year eur50 m credit facility
neutral,on the route between helsinki in finland and tallinn in estonia   cargo volume increase by 36    while cargo volume between finland and sweden fall by 9  
neutral,other measure include increase synergy and economy of scale within the grimaldi group and personnel adjustment   divestment and redelivery of excess tonnage
positive,rinkuskiai raise the sale by 181 percent   to 137 million liter   while the sale of kauno alus grow by 143 percent   to 960000 liter
neutral,telecomworldwire7 april 2006tj group plc sell stake in morning digital design oy finnish it company tj group plc say on friday 7 april that it have sign an agreement on sell its share of morning digital design oy to edita oyj
positive,telecomworldwire7 april 2006tj group plc sell stake in morning digital design oy finnish it company tj group plc say on friday 7 april that it have sign an agreement on sell its share of morning digital design oy to edita oyj
neutral,the 718430 new series a share will become subject to trading on the helsinki stock exchange s main list   together with the old series a share   on july 3   2006
neutral,the fuel purchase contract have be sign with three month   delivery from this september to november
neutral,tiimari operate 194 store in six country   include its core finnish market   and generate a turnover of 765 mln eur in 2005
positive,under this agreement biohit become a focus supplier of pipettor and disposable pipettor tip to vwr customer throughout europe
positive,the combination of all service enable we to offer a complex and strengthened service chain not only limit to the baltic port connection but also for get access to the world wide grimaldi network into the mediterranean   africa and north america   say uwe bakosch
neutral,no blindspot come from 1 vantage point allow investigator to see the whole story in high resolution with no unbroken video
positive,the company still expect its turnover in 2010 to slightly increase from the level of 2009   add that   market predictability be still too poor for trustworthy forecast on the market development of the contract manufacturing business during the current year  
positive,the acquisition will considerably increase kemira s sale and market position in the russian metal industry coating market
positive,in januaryseptember 2007   finnline   net sale rise to eur 5054 mn from eur 4735 mn in the corresponding period in 2006
positive,adjust for change in the group structure   the division s net sale increase by 17  
positive,  the change will optimize the operational efficiency of our grow business    say julia prohaska   director of marketing communication for fiskar
positive,  they would invest not only in the physical infrastructure   but would also provide knowhow for manage and develop science and technology park    say sunrise valley director andrius bagdonas
positive,4 february 2011   finnish broadband datum communication system provider teleste oyj hel   tlt1v see its net profit jump to eur2 1 m for the last quarter of 2010 from eur995 000 for the same period of 2009
positive,finnish aktia group s operating profit rise to eur 175 mn in the first quarter of 2010 from eur 82 mn in the first quarter of 2009
positive,finnish bank of _ land s consolidated net operating profit increase from eur 48 mn in the first quarter of 2005 to eur 64 mn in the first quarter of 2006
positive,finnish financial group aktia report operate profit of eur 444 mn in januaryseptember 2009   up from eur 373 mn in the corresponding period in 2008
positive,finnish high technology provider vaahto group report net sale of eur 418 mn in the accounting period september 2007   february 2008   an increase of 112   from a year early
positive,net sale of finnish food industry company lænnen tehtaat s continue operation increase by 13   in 2008 to eur 3491 mn from eur 3096 mn in 2007
positive,an individual promotion also generate slightly higherthanexpecte revenue
positive,biohit already service many current genesis customer and the customer base be expect to expand as a result of this agreement
positive,both operate profit and turnover for the threemonth period increase   respectively from eur0 9 m and eur8 3 m   as compare to the corresponding period in 2005
positive,circulation revenue have increase by 5   in finland and 4   in sweden in 2008
positive,clothing chain seppælæ s net sale increase by 70   to eur 308 mn
positive,construction volume meanwhile grow at a rate of 1015 percent annually
positive,finnish and swedish construction market be still experience an estimate 4   annual growth in 2008
positive,however   biohit estimate its total net sale will continue to grow in 2009   and that favourable trend in net sale will lead to a profit in 2009
positive,in 2009   fiskar   cash flow from operating activity amount to eur121 m   up from eur97 m in the previous year
positive,in lithuania   operating profit rise to eur 190000 from eur 70000 in the corresponding period in 2005
positive,in the fourth quarter of 2008   net sale increase by 2   to eur 10507 mn from eur 10270 mn in the fourth quarter of 2007
positive,international sale rise by 598   to eur 12444 mn
neutral,kalmar espana generate net sale of some 113 mln euro   148 mln in 2005
positive,net sale grow in the period to   x20ac 402 million   585us million from   x20ac 401 million in 2006
positive,net sale increase to eur655 m in april to june 2010 from eur438 m a year early
positive,net sale rise by 255   yearonyear to eur59 6 m   as the number of charger deliver go up by 41   to 659 million piece
positive,net sale total eur 936 mn   up from eur 932 mn in the corresponding period in 2005
positive,nokia also note the average selling price of handset decline during the period   though its mobile phone profit margin rise to more than 22 percent from 13 percent in the yearago quarter
positive,operate profit increase by 1451   to eur 83 mn from eur 34 mn
positive,operate profit margin increase from 112   to 117  
positive,operating profit rise to eur 311 mn from eur 122 mn in the corresponding period in 2009
positive,operating profit rise to eur 5mn from eur 28 mn in the fourth quarter of 2008
positive,operating profit be eur 245 mn   up from eur 230 mn
positive,ramirent s net sale in the second quarterended june 30 be euro 1287 million about we   163 million   a 33percent increase compare with euro 1246 million for thesecond quarter last year
positive,revenue grow by 2 percent to   x20ac 580 million   743 million   from   x20ac 569 million
positive,ruukki announce that it have sign an agreement with aker solution of norway to supply 24 suction anchor in september 2010 from its kalajoki unit in finland
positive,ruukki s delivery volume and sell price show favourable development and the company s comparable net sale grow by 50   yearonyear to eur647 m   ceo sakari tamminen say
positive,sanoma magazine   net sale be estimate to grow in 2006
positive,the bank forecast finland s gdp will grow by 2   in 2010 and in 2011
positive,the circuit s overall production rate on a weekly basis be now in excess of an average of 40000 tonne per day   with volume in excess of 50000 tonne per day be reach on individual day
positive,the company s consolidated operating profit amount to eur 1586 mn   up from eur 414 mn yearonyear
positive,the department store division report an increase in sale of 4 per cent
positive,the fair value of the company s investment property grow to eur 2803 billion at the end of march 2009 from eur 2691 million a year ago
positive,the last quarter be the good quarter of 2009 in net sale   and the operate margin rise to 122  
positive,the major brewery increase their domestic beer sale by 45 per cent last year   to 25688 million litre from 24592 million litre in 2004
positive,the transaction double tecnomen workforse   and add a fourth to their net sale
positive,  operating profit rise by 269   to eur 1058   834   million
positive,  after this purchase   cramo will become the second large rental service provider in the latvian market
positive,  the priority for 2009 be to strengthen the company s balance sheet and increase cash flow    ceo hannu krook say
positive,  the purchase of the operation be part of yit s strategy to expand its offering of building system service geographically  
positive,21 october 2010   finnish fishing tackle company rapala vmc corp   hel   rap1v   say today its net profit rise to eur18 9 m for the first nine month of 2010 from eur15 1 m for the same period a year early
neutral,a structure bim   build information model   software from tekla   a modelbase software provider   have be adopt for the construction management and delivery of a university project in abu dhabi
positive,accord to finnish metso mineral   the value of the company s order have go up to eur 19 bn in 12 month
positive,finnish aldata solution have sign a contract of supply its gold system to two french retail chain
positive,finnish bank of _ land report its operating profit rise to eur 213 mn in the second quarter of 2009 from eur 61 mn in the corresponding period in 2008
positive,finnish financial group aktia s operating profit for 2009 increase to eur 470 mn from eur 66 mn in 2008
positive,finnish forest machinery manufacturer ponsse s net sale grow to eur 513 mn in the first quarter of 2010 from eur 375 mn in the corresponding period in 2009
positive,finnish kci konecrane have raise its net sale growth estimate for 2006 from over 25   to over 35  
positive,finnish okmetic that manufacture and process silicon wafer for the semiconductor and sensor industry and norwegian solar wafer company norsun have sign a contract under which okmetic will supply norsun mono silicon crystal for use in solar cell manufacturing
positive,finnish pharmaceutical company orion s net sale rise to eur 190mn in the first quarter of 2009 from eur 180mn in the first quarter of 2008
positive,finnish ponsse have sign an agreement with babcock africa for the distribution and support of ponsse forest machine   harvester head   and information system in south africa
positive,south african sappi will become the large foreign forest industry company operate in finland as a result of the acquisition finnish mreal corporation s graphic paper business unit
positive,accord to deputy md pekka silvennoinen the aim be double turnover over the next three year
positive,accord to hkscan finland   the plan be to increase jærvisuomen portti s net sale to eur 80mn to eur 100mn
positive,advertising and circulation revenue grow by 34   and by 04    respectively
positive,after the takeover   cramo will become the second large rental service provider in the latvian market
positive,again   the most significant sale increase of 186   be in russia
positive,alma medium expect its net sale to increase as forecast previously
positive,also lemminkæinen s profit for accounting period go up to eur 31 mn from eur 245 mn a year ago
positive,at the end of march 2007   the group s order book be at eur 396 mn   up 42   from the corresponding period in 2006
positive,at the same time profit of the company increase by 10   in h1 and reach ls 79000
neutral,aviation system maintenance be base in kansas and generate net sale of usd 26 million for 2008
positive,besides we have increase the share of meat in various sausage and be offer a number of new taste in the grill product and shish kebabs segment    paavel say
positive,both operating profit and net sale for the 12month period increase   respectively from eur10 5 m and eur28 8 m   as compare to the financial year 2004
positive,both operating profit and net sale for the 12month period increase   respectively from eur20 8 m and eur177 7 m   as compare to the financial year 2004
positive,both operating profit and net sale for the 12month period increase   respectively from eur21 5 m and eur196 1 m   as compare to 2005
positive,both operating profit and net sale for the 12month period increase   respectively from eur4 7 m and eur26 7 m   as compare to 2004
positive,both operating profit and net sale for the ninemonth period increase   respectively by 266   and 34    as compare to the corresponding period in 2006
positive,both operating profit and net sale for the sixmonth period increase   respectively   from eur13 8 m and eur143 6 m   as compare to the corresponding period in 2007
positive,both operating profit and net sale for the sixmonth period increase   respectively from eur0 4 m and eur3 2 m   as compare to the corresponding period in 2005
positive,both operating profit and net sale for the sixmonth period increase   respectively from eur18 1 m and eur127 6 m   as compare to the corresponding period in 2006
positive,both operating profit and net sale for the sixmonth period increase   respectively from eur7 5 m and eur655 5 m   as compare to the corresponding period in 2005
positive,both operating profit and net sale for the threemonth period increase   respectively from eur15 1 m and eur131 5 m   as compare to the corresponding period in 2005
positive,both operating profit and net sale for the threemonth period increase   respectively from eur16 0 m and eur139 m   as compare to the corresponding quarter in 2006
positive,both operate profit and sale for the threemonth period increase   respectively from eur0 3 m and eur13 1 m   as compare to the corresponding period in 2005
positive,both operate profit and turnover for the ninemonth period increase   respectively from eur2 4 m and eur43 8 m   as compare to the corresponding period a year ago
positive,both operate profit and turnover for the sixmonth period increase   respectively   from eur17 6 m and eur1149 9 m   as compare to the corresponding period in 2007
positive,both operate profit and turnover for the sixmonth period increase   respectively from eur0 1 m and eur29 0 m   as compare to the corresponding period a year ago
positive,cargo volume grow by 7  
positive,cargo volume increase by approximately 5  
positive,comparable operating profit total eur 854mn   up from eur 730mn in 2004
positive,digia say its consolidated net sale for januaryjune 2010 be eur67 8 m   up 97   on the same period in 2009   eur61 9 m  
positive,dilute earning per share   eps   rise to eur 029 from eur 005
positive,dilute earning per share   eps   rise to eur 052 versus eur 009
positive,dilute earning per share   eps   rise to eur 105 from eur 064
positive,dilute earning per share   eps   rise to eur 368 from eur 050
positive,dilute eps rise to eur3 68 from eur0 50
positive,ebit margin be up from 14   to 51  
neutral,editor s note   grimaldi generate a 17 bln euro    2182 bln   turnover in 2005   ansa report on may 29   2006
positive,eps for the quarter be eur0 00   as compare with eur0 01 in the third quarter of 2008   represent a group net sale for the third quarter be eur15 3 m   up by 28   as compare with eur14 9 m in the third quarter of 2008
positive,eps from continue operation come in at 030 eur   up from 017
positive,equity ratio be 609   compare to 542   in the third quarter of 2007   net sale of the frozen food business total eur 110   up by about 5   from the third quarter of 2006
positive,eur928 000 in q1 2010 6 may 2010   finnish textile and clothing design company marimekko oyj   hel   mmo1v   say today its net profit rise to eur928 000 in the first quarter of 2010 from eur13 000 in the corresponding period a year early
positive,finlandbase elcoteq se   a privately hold provider of electronic manufacturing service to communication company   say thursday it sign a longterm manufacture supply deal with communication equipment company andrew corp
positive,finnish cutlery and hand tool maker fiskar oyj abp   hel   fisas   say today its net profit rise to eur 241 million   usd 336 m   in the third quarter of 2010 from eur 179 million a year early
positive,finnish department store chain stockmann oyj abp net profit rise to 398 mln euro    568 mln   for the first nine month of 2007 from 374 mln euro    534 mln   for the same period of 2006
positive,finnish lifting equipment maker konecrane oyj say on july 30   2008 that its net profit rise to 712 mln euro    1111 mln   for the first half of 2008 from 571 mln euro    891 mln   for the same period of 2007
positive,finnish message solution developer tecnoman corporation   omx helsinki   tem1v   say on thursday   11 december   that it have receive an expansion order for its convergent charge solution in latin america
positive,finnish metal industry solution supplier outotec oyj net profit rise to 504 mln euro    725 mln   for the first nine month of 2007 from 201 mln euro    289 mln   for the same period of 2006
positive,finnish metal product company componenta oyj net profit rise to 261 mln euro    359 mln   for the first quarter of 2007 from 53 mln euro    73 mln   for the same period of 2006
positive,finnish office supply and computer accessory dealer belttongroup plc say its net profit rise to 13 mln euro    17 mln   in 2006 from 113 mln euro    15 mln   in 2005
positive,finnish security and privacy software solution developer stonesoft oyj say on january 7   2008 that the preliminary sale of its stonegate product grow by 59 pct yearonyear to 36 mln euro    53 mln   for the fourth quarter of 2007
positive,finnish silicon wafer technology company okmetic oyj   omx helsinki   okm1v   report on thursday   7 august   an operate profit of eur5 3 m for the period januaryjune 2008   up from eur3 3 m in the corresponding period in 2007
positive,finnish software developer do solution oyj say its net profit increase to 35 mln euro    46 mln   in 2006 from 23 mln euro    30 mln   in 2005
positive,first quarter underlie operating profit rise to 41 mln eur from 33 mln a year early
positive,follow the acquisition   relacom will strengthen its presence in finland   serve operator and office market with mobile and fix network construction   installation and maintenance service
positive,for the first nine month of 2010   the company s net profit rise to eur41 m from eur30 m for the corresponding period of 2009
positive,helsinki   afx    retail and wholesale group kesko report net sale of 6594 mln eur for february   an increase of 108 pct yearonyear
positive,however   net sale in 2010 be see to have grow to eur598 3 m from eur582 3 m in 2009
positive,however   sale return to growth in apriljune 2010   ceo pekka eloholma say
positive,ragutis   which be control by the finnish brewery   report a 54percent rise in beer sale to 1044 million litre and hold an 1109percent market share
positive,svyturysutenos alus   which be control by the nordic group baltic beverage hold   bbh    post a 47percent growth in beer sale for januarymay to 4622 million litre
neutral,in 2007   contempus generate revenue of nok 693   approx
positive,in addition   kone sign a twoyear maintenance contract for the escalator
positive,in december alone   the member of the lithuanian brewer   association sell a total of 203 million liter of beer   an increase of 19 percent from the sale of 1992 million liter in december 2004
positive,in januaryseptember 2009   the group s net interest income increase to eur 1124 mn from eur 743 mn in januaryseptember 2008
positive,in q1 of 2010   bank of _ land s net interest income increase from eur 91 mn to eur 97 mn
positive,in sweden   operating profit for the period under review total eur 34 mn   up 308   from the corresponding period in 2005
positive,in the fourth quarter of 2009   orion s net profit go up by 338   yearonyear to eur33 m
positive,in the second quarter of 2010   the group s net profit rise to eur 31 million from eur 25 million in apriljune 2009
positive,in the second quarter of 2010   the group s net profit rise to eur3 1 m from eur2 5 m in apriljune 2009
positive,in the third quarter   net sale increase by 12   yearonyear to eur 1595 million   or by 6   at comparable currency rate growth
positive,in the third quarter   net sale increase by 12   yearonyear to eur159 5 m   or by 6   at comparable currency rate growth
neutral,incap estimate it will generate a revenue of 10 mln euro    132 mln   from its indian operation for 2007
positive,its market share widen to 4851 percent from 4831 percent a year early
neutral,its total annual revenue come up to about 160 mln zloty    569 mln42 3 mln euro  
positive,kesko agro eesti   the retailer and wholesaler of grain   agricultural and warehousing machinery and accessory   have net sale of 81 million euro in 2007   an increase by onetenth over the precede year
positive,kesko s car import and retailing business   vvauto   see sale grow by 171 pct
positive,kone s net sale rise by some 14   yearonyear in the first nine month of 2008
positive,  adp news    feb 11   2009   finnish management software solution provider ixono oyj   hel   xns1v   say today its net profit rise to eur 35 million   usd 45 m   for 2008 from eur 31 million for 2007
positive,  adp news    feb 12   2009   finnish it solution provider affecto oyj   hel   afe1v   say today its net profit rise to eur 85 million   usd 11 m   in 2008 from eur 7 million in 2007
positive,  adp news    feb 6   2009   finnish fishing tackle company rapala vmc corp   hel   rap1v   say today its net profit rise to eur 192 million   usd 246 m   for 2008 from eur 175 million for 2007
positive,  adp news    nov 5   2008   finnish electronic measurement product and solution maker vaisala oyj   omx   vaias   say today that its net profit rise to eur 18 million   usd 231 m   for the first nine month of 2008 from eur 1
positive,  adp news    oct 29   2008   finnish lifting equipment maker konecrane oyj   omx   kcr1v   say today that its net profit rise to eur 1166 million   usd 1491 m   in the first nine month of 2008 from eur 736 million for the s
positive,metso expect its net sale to increase by about 10   in 2008   at comparable exchange rate
neutral,mreal generate a turnover of eur5 6 bn in 2006 and have 15500 employee
positive,neste oil corp have sign longterm procurement contract with honkajoki oy and find protein oy   both own by finnish food manufacturer   for the supply of animal fat for biodiesel production at neste s 200000 bcd porvoo   finland   refinery
positive,net interest income increase by 45   to eur 314 mn from eur 300 mn in 2004
positive,net interest income be eur 1522 mn   up from eur 1010 mn in 2008
positive,net interest income be eur 393 mn   up from eur 327 mn
positive,net sale of the vegetable oil business rise to eur 106 mn from eur 101 mn
positive,nokia multimedia s net sale total eur 57 bn   up 45   from the corresponding period in 2005
positive,operate income rise to eur 6964 mn from eur 6003 mn in 2009
positive,operate profit of kauppalehti group rise to eur 15 mn from eur 13 mn   and that of marketplace to eur 13 mn from eur 10 mn in the third quarter of 2006
positive,operating profit rise from eur 194 mn to eur 245 mn
positive,operating profit rise to 221 mln eur from 199 mln
positive,operating profit rise to eur 16 mn from eur 11 mn in the corresponding period in 2006
positive,operating profit rise to eur 1034 mn from eur 232 in the corresponding period in 2006
positive,operating profit rise to eur 135 mn from eur 97 mn in the corresponding period in 2006
positive,operating profit rise to eur 267 mn from eur 149 mn in the corresponding period in 2006
positive,operating profit rise to eur 278 mn from eur 175 mn in 2008
positive,operating profit rise to eur 32 mn from eur 10 mn in the corresponding period in 2008
positive,operating profit rise to eur 47 mn from eur 36 mn
positive,operating profit rise to eur 47 mn from eur 46 mn
positive,operating profit rise to eur 92 mn from eur 68 mn in the corresponding period in 2007
positive,operating profit rise to eur2 4 m from eur1 6 m year early
positive,operating profit surge to eur21 m from eur106 000
positive,operate profit total eur 377 mn   up slightly from eur 372 mn in the corresponding period in 2006
positive,operate profit total eur 55 mn   up from eur 07 mn
positive,operating profit be eur 114 mn   up from eur 75 mn
positive,operating profit be eur 1397 mn   up 23   from eur 1138 mn
positive,order intake grow by 40   yearonyear and 30   yearonyear   respectively   to eur 576 million and eur 17 billion for the respective januaryseptember and julyseptember 2010 period
positive,order receive grow by 55   yearonyear to eur732 m
positive,orion pharma s operating profit increase by 425   from 2004
positive,passenger volume rise by 84   in the accounting period
positive,passengerrelate revenue rise by 51   to eur 4608 mn from eur 4385 mn in 2009
positive,press release 9 october 2009 ruukki have sign a contract to deliver and install the steel structure for a bridge over the kyronsalmi strait in savonlinna   finland
positive,pretax profit rise to eur 06 mn from eur 04 mn in the corresponding period in 2005
positive,pretax profit rise to eur 1019 mn from eur 1007 in the corresponding period in 2005
positive,pretax profit rise to eur 178 mn from eur 149 mn in 2005
positive,pretax profit total eur 3974 mn   up from eur 1647 mn
positive,previously   the company have guide for ebit and sale growth of 20 pct and 10 pct respectively for this year
positive,previously the company have estimate its operating profit to reach the level of 2005 only
positive,profit for the period total eur 394 mn   up from eur 339 mn in the corresponding period in 2006
positive,profit for the period be eur 59 mn   up from eur 13 mn
positive,profit for the period be eur 98 mn   up from eur 60 mn in 2004
positive,revenue grow 12 percent to    x20ac   36 billion   us 45 billion  
positive,revenue in july to september grow 14 percent to   euro   467 million from a year early   the company say thursday
positive,revenue at the same time grow 14 percent to 43 million euro
positive,ruukki have sign a contract to deliver and install the steel structure for a bridge over the kyronsalmi strait in savonlinna   finland
positive,sale in latin america increase by 42   to eur 432mn   and a total of 87 mn mobile device be sell in the area   represent an increase of 32   from the corresponding period in 2009
positive,sale of clothing develop well
positive,sanoma magazines finland s net sale grow to eur 1401 mn from eur 1318 mn
positive,satama s net profit for the third quarter of 2007 rise to 275000 euro    395000   from 270000 euro    388000   for the same period of 2006
positive,section   regional news   the demand in finnair s asian traffic   measure in passenger kilometer   be up 349   in august compare to last year
positive,svyturysutenos alus   which be control by the nordic group baltic beverage hold   bbh    post a 61 percent growth in beer sale for januaryseptember to 10199 million liter
positive,that would be an increase from estimate sale of 117 million last year
positive,the agreement expand tekla structure   scope of use to bridge design
positive,the aim be to increase sale by at least one fifth in 2006
